"task_id","task_name","primary_skill","secondary_skills","complexity_level","estimated_hours","required_experience","productivity_factor","adjusted_hours","team_size","collaboration_required","dependencies","critical_path","skill_learning_curve","ramp_up_hours","resource_notes","alternative_approach","risk_factors","mitigation_strategy","quality_overhead","review_hours","documentation_hours","testing_coordination","integration_overhead"
"TASK-AUTH-001-01","Database Schema & Prisma Setup","Backend Development","Database Design,Prisma","Low","3.2","Senior","1.2","2.7","1","","None","true","None","","Foundational task requiring schema expertise","Mid-level dev with senior review (add 1h review)","Schema lock-in early","Senior lead execution","0.5","0.5","0.2","",""
"TASK-AUTH-001-02","Registration API Route & Validation","Backend Development","Next.js,Zod,Security","Medium","6.3","Mid","1","6.3","1","","TASK-AUTH-001-01","true","Low","0.5","Standard API implementation","Fullstack dev","Validation logic gaps","Use Zod schema strictly","1","1","0.5","1","0.5"
"TASK-AUTH-002-01","JWT Utility Implementation","Security Engineering","TypeScript,Cryptography","Medium","5.2","Senior","1.1","4.7","1","true","None","true","None","","Critical security component","Backend Lead","Token vulnerability","Dedicated security resource","1.5","1","1","1","0.5"
"TASK-SALLA-001-01","OAuth Client Setup & Redirect Handler","Fullstack Development","OAuth,Integration","Medium","5.2","Mid","1","5.2","1","","TASK-AUTH-002-02","true","Medium","1","Requires Salla API familiarity","Backend dev","Third-party API specifics","Read Salla docs in ramp-up","1","0.5","0.5","1","0.5"
"TASK-SALLA-001-02","OAuth Callback & Token Exchange","Fullstack Development","Security,API Integration","Medium","6.3","Mid","1","6.3","1","true","TASK-SALLA-001-01","true","Low","","Security validation required","Pair with Security Eng","CSRF vulnerabilities","Security Eng code review","1.5","1","0.5","1","0.5"
"TASK-SYNC-001-01","Salla API Client & Pagination","Backend Development","Resiliency Patterns,TypeScript","High","8","Senior","1.2","6.7","1","","TASK-SALLA-001-04","true","Medium","1","Complex retry logic needed","Mid dev (add 3h)","Rate limit handling failure","Senior dev execution","2","1","0.5","1.5","0.5"
"TASK-DATA-001-01","ClickHouse Schema Definition","Data Engineering","ClickHouse,SQL Optimization","Medium","6.3","Senior","1.2","5.3","1","true","None","true","High","2","Specialized ClickHouse knowledge","Consultant / None","Poor query performance","Expert resource allocation","1","1","1","0.5","1"
"TASK-SYNC-001-02","Sync Worker Orchestration (QStash)","Backend Development","Queue Systems,Serverless","Medium","6.3","Mid","1","6.3","1","","TASK-SYNC-001-01","true","Medium","1.5","QStash specific patterns","Backend Lead","Timeout handling","Prototype first","1.5","0.8","0.5","1","1"
"TASK-DATA-003-01","Loader Worker Infrastructure","Data Engineering","Backend,Infrastructure","High","6","Senior","1.1","5.5","1","true","TASK-DATA-001-02","true","Medium","1","High performance requirement","Backend Lead (lower efficiency)","Connection exhaustion","Pooling config review","1.5","1","0.5","1.5","1"
"TASK-DATA-003-02","Data Transformer (ETL)","Backend Development","Data Engineering,TypeScript","Medium","8.3","Mid","1","8.3","1","","TASK-DATA-003-01","true","Low","0.5","Logic heavy","Data Engineer","Data type mismatches","Strict typing/Zod","2","1","0.5","1.5","0.5"
"TASK-AI-002-01","Context Retrieval Service","Backend Development","Vector DB,AI","High","6","Senior","1.2","5","1","true","WI-AI-001","","High","2","pgvector expertise needed","Fullstack dev (high risk)","Retrieval latency","Lead dev implementation","1.5","1","0.5","1","1"
"TASK-AI-002-02","Prompt Engineering & Construction","Fullstack Development","AI,Prompt Engineering","High","10.3","Mid","0.9","11.4","1","true","TASK-AI-002-01","","High","3","Iterative process","Backend Lead","Hallucination risk","Security review required","3","1.5","1","2","1"
