"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-001","OLTP Schema Definition & Relation Mapping","Analyze ERD and implement `schema.prisma`. Define models for User, Merchant, Customer, Order, and their relations. Configure indexes.","Task","Sprint Backlog","Critical","backend.lead@salla-saas.com","pm@salla-saas.com","2025-02-03","5.1","3","backend,database,prisma","Sprint 1","Foundation & Onboarding","Project Infrastructure & Foundation","EPIC-001","Salla Analytics Platform","US-001","","Prisma,PostgreSQL,Data Modeling","Medium","Low","Schema validates; Migrations created; Relations enforce integrity","Code reviewed; Local DB seeds successfully","2025-02-01","2025-02-14","100%","Frontend for type generation","None","Schema validation","Run initial migration on staging DB","Core data structure"
"TASK-002","Migration Workflow & Client Generation","Set up local Postgres container. Create initial migration. Generate Prisma Client. Implement seed script.","Task","Sprint Backlog","High","backend.dev@salla-saas.com","backend.lead@salla-saas.com","2025-02-04","7.3","3","backend,devops","Sprint 1","Foundation & Onboarding","Project Infrastructure & Foundation","EPIC-001","Salla Analytics Platform","US-001","TASK-001","Docker,TypeScript,SQL","Medium","Low","Docker compose up works; Seeding succeeds","Dev environment documentation updated","2025-02-01","2025-02-14","100%","None","None","Local env spin-up","None","Developer experience"
"TASK-003","ClickHouse Schema Design (MergeTree)","Design SQL DDL for SalesFact and AbandonedCartFact. Optimize partition keys and primary keys for OLAP.","Task","Sprint Backlog","High","data.engineer@salla-saas.com","pm@salla-saas.com","2025-02-05","6.3","3","database,clickhouse,olap","Sprint 1","Foundation & Onboarding","Project Infrastructure & Foundation","EPIC-001","Salla Analytics Platform","US-022","","ClickHouse,SQL,Performance Tuning","High","Medium","DDL scripts created; Performance verified on test data","Schema deployed to ClickHouse Cloud","2025-02-01","2025-02-14","100%","Backend team for query patterns","ClickHouse Cloud instance","Query performance benchmarks","Apply DDL manually or via migration tool","Analytics performance"
"TASK-004","ClickHouse Client Integration","Implement typed Node.js wrapper for ClickHouse client. Configure connection pooling/buffering for serverless.","Task","Sprint Backlog","Medium","backend.dev@salla-saas.com","data.engineer@salla-saas.com","2025-02-06","9.7","5","backend,integration","Sprint 1","Foundation & Onboarding","Project Infrastructure & Foundation","EPIC-001","Salla Analytics Platform","US-022","TASK-003","Node.js,TypeScript,ClickHouse SDK","Medium","Low","Client connects; Queries execute; Types are safe","Integration tests passing","2025-02-01","2025-02-14","100%","None","None","Connectivity tests","Env vars for CH credentials","Data access"
"TASK-005","OAuth State Management & Redirect","Implement /api/salla/auth/url. Generate secure state, store in cookie/Redis, return Salla auth URL.","Task","Sprint Backlog","Critical","security.eng@salla-saas.com","pm@salla-saas.com","2025-02-07","6.3","3","security,auth,backend","Sprint 1","Foundation & Onboarding","Authentication & Onboarding","EPIC-002","Salla Analytics Platform","US-009","","Next.js API,Security,Cookies","Medium","Low","Correct URL generation; Secure state storage; CSRF protection","Endpoint tested with curl/Postman","2025-02-01","2025-02-14","100%","None","Salla App Credentials","Security scan","None","Security foundation"
"TASK-006","OAuth Callback & Token Exchange","Implement /api/salla/callback. Validate state. Exchange code for tokens. Handle errors.","Task","Sprint Backlog","Critical","backend.lead@salla-saas.com","security.eng@salla-saas.com","2025-02-10","10.3","5","integration,auth,backend","Sprint 1","Foundation & Onboarding","Authentication & Onboarding","EPIC-002","Salla Analytics Platform","US-009","TASK-005","Integration,Error Handling","High","Medium","Tokens retrieved; Errors handled (400/500); User redirected","E2E OAuth flow works manually","2025-02-01","2025-02-14","100%","Frontend for redirect handling","Salla API","Mocked API tests","None","User acquisition"
"TASK-007","Token Encryption & Storage","Implement AES-256-GCM encryption for tokens. Store in Postgres. Decrypt utility.","Task","Sprint Backlog","High","security.eng@salla-saas.com","backend.lead@salla-saas.com","2025-02-11","6.3","3","security,database","Sprint 1","Foundation & Onboarding","Authentication & Onboarding","EPIC-002","Salla Analytics Platform","US-009","TASK-001","Cryptography,Prisma","Medium","Low","Tokens encrypted at rest; Decryption works; Keys secure","Unit tests for crypto functions","2025-02-01","2025-02-14","100%","None","None","Crypto unit tests","Set ENCRYPTION_KEY env var","Compliance"
"TASK-008","OAuth Integration Tests","Automated tests mocking Salla API for success, failure, and edge cases.","Task","Sprint Backlog","Medium","qa.eng@salla-saas.com","backend.lead@salla-saas.com","2025-02-13","10.3","5","qa,testing","Sprint 1","Foundation & Onboarding","Authentication & Onboarding","EPIC-002","Salla Analytics Platform","US-009","TASK-006","Jest/Vitest,Mocking","Medium","Low","High test coverage; Edge cases covered","Tests pass in CI","2025-02-01","2025-02-14","100%","None","None","CI Integration","None","Quality assurance"
"TASK-009","CDC Architecture & QStash Setup","Design event payload. Configure QStash. Implement publisher in Service Layer for Order/Customer mutations.","Task","Sprint Backlog","Critical","backend.lead@salla-saas.com","pm@salla-saas.com","2025-02-17","8","5","architecture,events,backend","Sprint 2","Data Pipeline & Analytics MVP","Data Ingestion & Pipeline","EPIC-003","Salla Analytics Platform","US-011","TASK-001","System Design,Upstash","High","Medium","Publisher functional; QStash receiving events","Events verified in QStash console","2025-02-15","2025-02-28","100%","None","Upstash QStash","Integration test","QStash topic config","Real-time data"
"TASK-010","CDC Consumer: Data Transformation","Implement QStash consumer endpoint. Transform raw Order/Customer payloads to ClickHouse schema.","Task","Sprint Backlog","High","data.engineer@salla-saas.com","backend.lead@salla-saas.com","2025-02-19","10.3","5","data,etl,backend","Sprint 2","Data Pipeline & Analytics MVP","Data Ingestion & Pipeline","EPIC-003","Salla Analytics Platform","US-011","TASK-009,TASK-003","Data Engineering,TypeScript","High","Medium","Payloads validated; Transformation correct","Unit tests for transform logic","2025-02-15","2025-02-28","100%","None","None","Unit tests","None","Data quality"
"TASK-011","CDC Consumer: ClickHouse Insertion","Implement batch insertion to ClickHouse. Handle errors and DLQ.","Task","Sprint Backlog","High","data.engineer@salla-saas.com","backend.lead@salla-saas.com","2025-02-21","11.7","5","data,clickhouse,backend","Sprint 2","Data Pipeline & Analytics MVP","Data Ingestion & Pipeline","EPIC-003","Salla Analytics Platform","US-011","TASK-010,TASK-004","ClickHouse,Error Handling","High","High","Data visible in CH; Idempotency verified","End-to-end CDC flow working","2025-02-15","2025-02-28","100%","None","ClickHouse","Load test","None","Data availability"
"TASK-012","CDC Load Testing & Optimization","Simulate high volume of events. Measure latency. Optimize batch sizes.","Task","Sprint Backlog","Medium","qa.eng@salla-saas.com","backend.lead@salla-saas.com","2025-02-24","9.7","5","performance,qa","Sprint 2","Data Pipeline & Analytics MVP","Data Ingestion & Pipeline","EPIC-003","Salla Analytics Platform","US-011","TASK-011","Load Testing,Performance Analysis","Medium","Medium","Latency < 5 mins; No data loss","Performance report approved","2025-02-15","2025-02-28","100%","None","None","k6 tests","None","Scalability"
