"task_id","title","description","type","status","priority","assignee","estimated_hours","story_points","sprint","epic_id","dependencies","skills_required","risk_level"
"TASK-AUTH-001","Middleware JWT Verification Logic","Implement Next.js middleware to intercept requests, parse the JWT, verify signature (RS256), and handle expiration.","Task","Sprint Backlog","Critical","lead.arch@salla-saas.com","6.3","3","Sprint 1","EPIC-AUTH","","Next.js, Security","High"
"TASK-AUTH-002","Tenant Context Injection & Header Management","Modify middleware to extract merchant_id and inject into request headers (x-merchant-id).","Task","Sprint Backlog","High","lead.arch@salla-saas.com","3.2","2","Sprint 1","EPIC-AUTH","TASK-AUTH-001","Next.js, TypeScript","Low"
"TASK-AUTH-003","Prisma Middleware for Row-Level Security","Implement Prisma extension that automatically filters queries by merchant_id based on context header.","Task","Sprint Backlog","High","backend.dev@salla-saas.com","4.7","3","Sprint 1","EPIC-AUTH","TASK-AUTH-002","Prisma, TypeScript","Medium"
"TASK-DATA-001","QStash Worker Scaffolding & Security","Create API route for QStash worker receiver with signature verification.","Task","Sprint Backlog","Medium","backend.dev@salla-saas.com","3.2","2","Sprint 1","EPIC-DATA-PIPE","","Next.js, Security","Low"
"TASK-INF-001","ClickHouse Instance Setup & Connectivity","Provision ClickHouse Cloud service and implement TS client connection utility.","Task","Sprint Backlog","High","backend.dev@salla-saas.com","3.2","2","Sprint 1","EPIC-INFRA","","DevOps, TypeScript","Low"
"TASK-INF-002","Design ClickHouse Schema & Engines","Define SQL schema for SalesFact and AbandonedCartFact tables using MergeTree engines.","Task","Sprint Backlog","Critical","lead.arch@salla-saas.com","6.2","3","Sprint 2","EPIC-INFRA","TASK-INF-001","SQL, ClickHouse","High"
"TASK-INF-003","Implement ClickHouse Migration Runner","Create utility script to apply SQL migrations to ClickHouse instance.","Task","Sprint Backlog","Medium","backend.dev@salla-saas.com","5.2","3","Sprint 2","EPIC-INFRA","TASK-INF-002","Node.js, Shell Scripting","Low"
"TASK-DATA-002","Salla API Client with Rate Limiting","Implement typed Salla API client with Leaky Bucket rate limiter (Redis) and exponential backoff.","Task","Sprint Backlog","Critical","backend.dev@salla-saas.com","7.3","3","Sprint 2","EPIC-DATA-PIPE","","TypeScript, API Integration","High"
"TASK-DATA-003","Recursive Pagination & Checkpointing Logic","Implement core sync logic with recursive QStash triggers to handle long-running imports.","Task","Sprint Backlog","Critical","lead.arch@salla-saas.com","10.3","5","Sprint 2","EPIC-DATA-PIPE","TASK-DATA-001, TASK-DATA-002","Backend Architecture","Critical"
"TASK-DATA-004","Data Transformation & Bulk Upsert","Transform Salla JSON to Prisma schema and execute bulk upserts.","Task","Sprint Backlog","High","backend.dev@salla-saas.com","4","2","Sprint 2","EPIC-DATA-PIPE","TASK-DATA-003","TypeScript, Prisma","Low"
"TASK-ANA-001","Dashboard Layout & Skeleton State","Create responsive grid layout and skeleton loaders using Tailwind CSS.","Task","Sprint Backlog","High","frontend.dev@salla-saas.com","4","2","Sprint 2","EPIC-ANALYTICS","","React, Tailwind","Low"
"TASK-ANA-002","KPI Card Component Implementation","Build reusable KPI card with trend visualization logic.","Task","Sprint Backlog","Medium","frontend.dev@salla-saas.com","3.2","2","Sprint 2","EPIC-ANALYTICS","TASK-ANA-001","React, TypeScript","Low"
"TASK-ANA-003","Recharts Integration for Sales Trend","Implement main sales trend chart with Recharts AreaChart.","Task","Sprint Backlog","High","frontend.dev@salla-saas.com","6.3","3","Sprint 3","EPIC-ANALYTICS","TASK-ANA-001","React, Recharts","Medium"
"TASK-ANA-004","Dashboard Data Fetching Integration","Wire up UI components to Analytics API using SWR/React Query.","Task","Sprint Backlog","Critical","frontend.dev@salla-saas.com","5","3","Sprint 3","EPIC-ANALYTICS","TASK-ANA-002, TASK-ANA-003","React, SWR","Medium"
"TASK-CART-001","Email Scheduling Logic","Implement service to calculate send times and push jobs to QStash.","Task","Sprint Backlog","High","backend.dev@salla-saas.com","5.2","3","Sprint 4","EPIC-CART-RECOVERY","","Backend, Date Logic","Medium"
"TASK-CART-002","Email Sending Worker & Postmark Integration","Worker function triggered by QStash to render and send emails via Postmark.","Task","Sprint Backlog","High","backend.dev@salla-saas.com","7","3","Sprint 4","EPIC-CART-RECOVERY","TASK-CART-001","Backend, API Integration","Medium"
"TASK-CART-003","Template Rendering Engine","Service to interpolate variables into HTML template string securely.","Task","Sprint Backlog","Medium","backend.dev@salla-saas.com","5.8","3","Sprint 4","EPIC-CART-RECOVERY","","TypeScript, Regex","Low"
