"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INFRA-001","Initialize Next.js Repository & Tooling","Scaffold Next.js App Router project. Configure TypeScript strict mode, ESLint, Prettier, and Husky hooks. Install and configure Tailwind CSS and shadcn/ui base components.","Task","Sprint Backlog","Critical","frontend.lead@company.com","tech.lead@company.com","2025-02-04","3.2","1","frontend,infrastructure,setup","Sprint 1","Establish secure multi-tenant foundation and enable Salla store connectivity","Core Infrastructure & Authentication","EPIC-CORE-INFRA","Salla Merchant Analytics","US-001","","DevOps,Next.js","Low","Low","Build pipeline passes without errors; Linting rules enforced on commit","Repo initialized; CI pipeline configured","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","5%","None","None","Build verification","None","Foundation for all development"
"TASK-DB-001","Design & Implement Multi-Tenant Prisma Schema","Define PostgreSQL schema for Users, Merchants, and Roles using UUIDs. Implement connection pooling configuration (PgBouncer) to mitigate serverless connection exhaustion risks.","Task","Sprint Backlog","Critical","backend.lead@company.com","tech.lead@company.com","2025-02-05","5.2","2","database,prisma,backend","Sprint 1","Establish secure multi-tenant foundation and enable Salla store connectivity","Core Infrastructure & Authentication","EPIC-CORE-INFRA","Salla Merchant Analytics","US-001","TASK-INFRA-001","Database Design,Prisma","Medium","Medium","Schema compiles and migrations run locally; Indexes defined on merchantId; Connection pooling configured","Migration files created; Connection pooling active","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","10%","DevOps for PgBouncer","PostgreSQL instance","Migration test","Requires DB credentials","Enables data persistence and multi-tenancy"
"TASK-AUTH-001","Implement JWT Authentication Service","Develop AuthService for registration and login. Implement Argon2 password hashing, RS256 JWT signing, and secure HttpOnly cookie management for refresh tokens.","Task","Sprint Backlog","Critical","backend.lead@company.com","tech.lead@company.com","2025-02-07","12","5","backend,security,auth","Sprint 1","Establish secure multi-tenant foundation and enable Salla store connectivity","Core Infrastructure & Authentication","EPIC-CORE-INFRA","Salla Merchant Analytics","US-001","TASK-DB-001","Backend,Security","High","High","User registration stores hashed password; Login issues valid Access/Refresh tokens; Refresh tokens stored in HttpOnly cookies","AuthService functional; Unit tests passing","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","20%","Frontend for cookie handling","None","Security unit tests","Environment variables for JWT secrets","Secure user access"
"TASK-INT-001","Implement Salla OAuth Code Exchange","Create API routes for OAuth redirect and callback. Implement state parameter validation for CSRF protection. Exchange authorization code for tokens and encrypt (AES-256) before DB storage.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2025-02-10","10.3","3","integration,oauth,backend","Sprint 1","Establish secure multi-tenant foundation and enable Salla store connectivity","Salla Integration & Data Ingestion","EPIC-INTEGRATION","Salla Merchant Analytics","US-009","TASK-AUTH-001","Backend,OAuth","Medium","Medium","OAuth flow redirects correctly; State parameter validated; Tokens encrypted at rest","OAuth routes functional; Integration tests passing","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","15%","None","Salla Partner App credentials","Manual OAuth flow test","Salla callback URL configuration","Enables data access from merchant stores"
"TASK-INT-002","Implement Salla Webhook Verification & Queuing","Create webhook endpoint to validate HMAC signatures. Push valid events to QStash for asynchronous processing to ensure <200ms response time.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2025-02-12","6","2","integration,webhooks,backend","Sprint 1","Establish secure multi-tenant foundation and enable Salla store connectivity","Salla Integration & Data Ingestion","EPIC-INTEGRATION","Salla Merchant Analytics","US-012","TASK-INT-001","Backend,Security","Medium","Low","HMAC signature validation works; Events pushed to QStash; Endpoint responds <200ms","Webhook handler deployed; Mock tests passing","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","10%","None","QStash configuration","Load test webhook ingestion","None","Real-time data updates"
"TASK-DATA-001","Architect Recursive Data Sync Worker","Implement historical sync worker using recursive QStash pattern to bypass serverless timeouts. Each function invocation processes one page of Salla API results.","Task","Sprint Backlog","Critical","backend.lead@company.com","tech.lead@company.com","2025-02-14","18.7","8","backend,data,architecture","Sprint 1","Establish secure multi-tenant foundation and enable Salla store connectivity","Salla Integration & Data Ingestion","EPIC-INTEGRATION","Salla Merchant Analytics","US-012","TASK-INT-001","Backend Architecture,Serverless","High","Critical","Worker processes single page within limits; Next page event triggered; State persisted to DB","Recursive worker functional; Load tests passing","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","30%","None","QStash","Timeout simulation","Long-running job configuration","Enables historical data analysis"
"TASK-DATA-002","Design & Deploy ClickHouse OLAP Schema","Define MergeTree tables for SalesFact and OrderItems. Configure partition keys (YYYYMM) and sorting keys (MerchantID, Date) for query performance.","Task","Planned","High","data.engineer@company.com","tech.lead@company.com","2025-02-19","6.3","2","data,clickhouse,infrastructure","Sprint 2","Implement data pipeline and visualize core KPIs on the main dashboard","Advanced Analytics & Reporting","EPIC-ANALYTICS","Salla Merchant Analytics","US-022","","Database,ClickHouse","Medium","Medium","Schema successfully deployed; Test queries execute <100ms","Schema deployed to ClickHouse Cloud","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-17","2025-02-28","15%","None","ClickHouse Cloud instance","Query performance tests","None","Foundation for analytics"
"TASK-DATA-003","Implement CDC Pipeline Consumer","Develop QStash consumer to process batch change events from Postgres. Transform data and insert into ClickHouse using de-duplication logic.","Task","Planned","High","backend.dev@company.com","data.engineer@company.com","2025-02-24","16.3","5","backend,data,cdc","Sprint 2","Implement data pipeline and visualize core KPIs on the main dashboard","Advanced Analytics & Reporting","EPIC-ANALYTICS","Salla Merchant Analytics","US-022","TASK-DATA-002,TASK-DATA-001","Backend,Data Engineering","High","High","Data flows from Postgres to ClickHouse; Latency under 5 minutes; Duplicates handled","CDC Worker active; Data consistency verified","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-17","2025-02-28","25%","None","QStash","End-to-end data latency test","None","Near real-time analytics"
"TASK-API-001","Develop Analytics Aggregation API","Create API endpoints to query ClickHouse for Dashboard KPIs. Implement parameterized SQL generation with strict merchantId scoping.","Task","Planned","High","backend.dev@company.com","product.owner@company.com","2025-02-26","10.3","3","backend,api,analytics","Sprint 2","Implement data pipeline and visualize core KPIs on the main dashboard","Advanced Analytics & Reporting","EPIC-ANALYTICS","Salla Merchant Analytics","US-022","TASK-DATA-002","Backend,SQL","Medium","Medium","Endpoints return correct JSON; SQL injection protection verified; Response time <200ms","API routes documented and tested","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-17","2025-02-28","20%","None","None","API performance test","None","Powering dashboard visualization"
"TASK-UI-003","Implement Recharts Dashboard Components","Build responsive Chart components using Recharts (Line, Bar, Area). Integrate with Analytics API. Implement loading skeletons and error states.","Task","Planned","High","frontend.lead@company.com","product.owner@company.com","2025-02-28","12.3","3","frontend,charts,dashboard","Sprint 2","Implement data pipeline and visualize core KPIs on the main dashboard","Advanced Analytics & Reporting","EPIC-ANALYTICS","Salla Merchant Analytics","US-022","TASK-API-001","Frontend,Data Viz","Medium","Low","Charts render data from API; Responsive on mobile; Loading states implemented","Dashboard functional; Visual QA passed","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-17","2025-02-28","20%","None","None","Visual regression tests","None","Visual insights for users"
