"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","business_value"
"TASK-AUTH-001-01","Database Schema & Prisma Setup","Define User and Merchant models in Prisma schema. Configure indexes for email lookups. Run initial migration.","Task","Sprint Backlog","Critical","backend.lead@saas.com","product.owner@saas.com","2025-02-03","3.2","2","backend,database,prisma","Sprint 1","Establish Secure Identity & Salla Connectivity","Authentication & User Management","EPIC-AUTH-USER","Salla Analytics Platform","WI-AUTH-001","","Prisma,PostgreSQL","Low","Low","Schema defined; Migration applied; Client generated","Migration script committed; DB reachable","2025-02-01","2025-02-14","2%","None","None","Foundational data structure"
"TASK-AUTH-001-02","Registration API Route & Validation","Implement Next.js API Route handler. Setup Zod schema for email (RFC 5322) and password complexity. Atomic transactions.","Task","Sprint Backlog","Critical","backend.dev@saas.com","backend.lead@saas.com","2025-02-05","6.3","3","backend,api,zod","Sprint 1","Establish Secure Identity & Salla Connectivity","Authentication & User Management","EPIC-AUTH-USER","Salla Analytics Platform","WI-AUTH-001","TASK-AUTH-001-01","Next.js,Zod","Medium","Low","Zod rejects invalid inputs; Atomic User/Merchant creation","API tests passing; Error handling verified","2025-02-01","2025-02-14","4%","None","None","Secure user entry point"
"TASK-AUTH-002-01","JWT Utility Implementation","Create functions to sign/verify Access/Refresh tokens using jose/jsonwebtoken. Define payload structure.","Task","Sprint Backlog","Critical","security.eng@saas.com","backend.lead@saas.com","2025-02-04","5.2","3","security,auth,jwt","Sprint 1","Establish Secure Identity & Salla Connectivity","Authentication & User Management","EPIC-AUTH-USER","Salla Analytics Platform","WI-AUTH-002","","Security,TypeScript","Medium","Medium","Tokens signed correctly; Expiration configurable","Unit tests passing with 100% coverage","2025-02-01","2025-02-14","3%","Backend Lead for payload definition","None","Stateless authentication foundation"
"TASK-SALLA-001-01","OAuth Client Setup & Redirect Handler","Configure Salla API constants. Implement redirect handler generating state and constructing auth URL.","Task","Sprint Backlog","Critical","fullstack.dev@saas.com","product.owner@saas.com","2025-02-06","5.2","3","integration,oauth,salla","Sprint 1","Establish Secure Identity & Salla Connectivity","Onboarding & Data Integration","EPIC-ONBOARD-SYNC","Salla Analytics Platform","WI-SALLA-001","TASK-AUTH-002-02","Backend,OAuth","Medium","Medium","Redirects to Salla; State parameter stored","Manual browser test successful","2025-02-01","2025-02-14","3%","None","Salla Developer App Credentials","Initiates data access"
"TASK-SALLA-001-02","OAuth Callback & Token Exchange","Implement callback route. Validate state (CSRF). Exchange auth code for tokens via Salla API.","Task","Sprint Backlog","Critical","fullstack.dev@saas.com","backend.lead@saas.com","2025-02-10","6.3","3","integration,oauth,salla","Sprint 1","Establish Secure Identity & Salla Connectivity","Onboarding & Data Integration","EPIC-ONBOARD-SYNC","Salla Analytics Platform","WI-SALLA-001","TASK-SALLA-001-01","Backend,Integration","Medium","Medium","Validates state; Exchanges code; Handles errors","Integration test with mock Salla response","2025-02-01","2025-02-14","4%","Security Engineer for validation","Salla API uptime","Completes connection handshake"
"TASK-SYNC-001-01","Salla API Client & Pagination Implementation","Extend Salla Client to handle pagination. Implement strict rate-limit handling (429 exponential backoff).","Task","Sprint Backlog","High","backend.lead@saas.com","tech.lead@saas.com","2025-02-18","8","5","backend,integration,resiliency","Sprint 2","Historical Data Ingestion & Storage","Onboarding & Data Integration","EPIC-ONBOARD-SYNC","Salla Analytics Platform","WI-SYNC-001","TASK-SALLA-001-04","TypeScript,Backend","Medium","High","Traverses all pages; Pauses on 429","Unit tests with mock API rate limits","2025-02-17","2025-02-28","5%","None","Salla API Rate Limits","Enables bulk data fetch"
"TASK-DATA-001-01","ClickHouse Schema Definition & Optimization","Draft SQL for SalesFact/AbandonedCartFact. Select MergeTree engine. Define Sorting/Partition Keys.","Task","Sprint Backlog","High","data.eng@saas.com","tech.lead@saas.com","2025-02-18","6.3","3","database,clickhouse,design","Sprint 2","Historical Data Ingestion & Storage","Data Pipeline & Warehouse","EPIC-DATA-PIPELINE","Salla Analytics Platform","WI-DATA-001","","ClickHouse,SQL","Medium","Medium","Schema optimized for date/merchant filtering","Peer reviewed SQL files","2025-02-17","2025-02-28","4%","Backend Lead for query requirements","None","Analytical engine foundation"
"TASK-SYNC-001-02","Sync Worker Orchestration (QStash)","Implement Next.js API route as QStash worker. Dispatch sub-jobs per resource (Products, Orders).","Task","Sprint Backlog","High","backend.dev@saas.com","backend.lead@saas.com","2025-02-20","6.3","3","backend,queue,qstash","Sprint 2","Historical Data Ingestion & Storage","Onboarding & Data Integration","EPIC-ONBOARD-SYNC","Salla Analytics Platform","WI-SYNC-001","TASK-SYNC-001-01","Backend,Queue Systems","Medium","Medium","Validates signature; Dispatches jobs; Handles timeouts","Integration test verifying job flow","2025-02-17","2025-02-28","4%","None","QStash availability","Reliable background processing"
"TASK-DATA-003-01","Loader Worker Infrastructure","Setup background worker to consume from QStash CDC queue. Configure ClickHouse client with connection pooling.","Task","Sprint Backlog","High","data.eng@saas.com","tech.lead@saas.com","2025-03-04","6","3","backend,data,clickhouse","Sprint 3","Real-time Analytics Pipeline & ETL","Data Pipeline & Warehouse","EPIC-DATA-PIPELINE","Salla Analytics Platform","WI-DATA-003","TASK-DATA-001-02","Backend,Integration","High","High","Worker receives events; Secure client configuration","Integration test passing","2025-03-03","2025-03-14","4%","DevOps for connection pooling","QStash, ClickHouse Cloud","Real-time data ingestion"
"TASK-DATA-003-02","Data Transformer (ETL)","Implement logic to transform normalized Postgres entities into denormalized ClickHouse Fact rows.","Task","Sprint Backlog","High","backend.dev@saas.com","data.eng@saas.com","2025-03-06","8.3","5","data,etl,typescript","Sprint 3","Real-time Analytics Pipeline & ETL","Data Pipeline & Warehouse","EPIC-DATA-PIPELINE","Salla Analytics Platform","WI-DATA-003","TASK-DATA-003-01","Data Engineering,TypeScript","Medium","Medium","Flattens Order+Items correctly; Type conversions handled","Unit tests covering all entity types","2025-03-03","2025-03-14","5%","None","None","Data format compatibility"
"TASK-AI-002-01","Context Retrieval Service","Implement service to query pgvector for relevant schema info based on user input embedding.","Task","Sprint Backlog","High","backend.lead@saas.com","product.owner@saas.com","2025-03-18","6","3","ai,backend,vector","Sprint 4","AI Assistant & Intelligence Layer","AI Assistant (RAG)","EPIC-AI-ASSIST","Salla Analytics Platform","WI-AI-002","WI-AI-001","Postgres,Vector Search","High","High","Retrieves relevant context; Latency < 200ms","Unit test with vector mock","2025-03-17","2025-03-28","4%","Data Engineer for schema details","OpenAI Embedding API","Context-aware AI"
"TASK-AI-002-02","Prompt Engineering & Construction","Design system prompt injecting Schema, Context, and Rules. Implement token limit management.","Task","Sprint Backlog","High","fullstack.dev@saas.com","backend.lead@saas.com","2025-03-20","10.3","5","ai,prompt-engineering","Sprint 4","AI Assistant & Intelligence Layer","AI Assistant (RAG)","EPIC-AI-ASSIST","Salla Analytics Platform","WI-AI-002","TASK-AI-002-01","Prompt Engineering,Backend","High","High","Prompt fits window; Tenant isolation enforced; Output valid SQL","Verification against test query set","2025-03-17","2025-03-28","6%","Security Eng for injection checks","OpenAI API","Accuracy of AI results"
