id,req_id,category,formalized_text,feature_group,original_text,assumptions,constraints,dependencies,detail_analysis,priority,validation_criteria
1309,REQ-FUNC-003,Functional,The system shall provide a secure workflow for users to reset their forgotten password via a time-sensitive link sent to their registered email address.,User Onboarding,FR-102: User Authentication - The system shall provide a 'Forgot Password' workflow.,[],"[""Password reset links must expire within 60 minutes.""]","['REQ-FUNC-001', 'REQ-INTG-005']",FALSE,high,"['Given a registered email address, the system sends an email containing a unique, time-limited password reset link.', 'The reset link directs the user to a page where they can enter and confirm a new password.', 'Upon successful password change, the old password is invalidated, and the user can log in with the new password.', 'The system displays an error if the reset link is expired or invalid.']"
1310,REQ-FUNC-006,Functional,The system shall allow a user with the 'Owner' role to invite other users to their merchant account by sending an email invitation to a specified address and assigning a role.,User Management,FR-202: Team Member Invitation - The 'Owner' role shall be able to invite team members via email to access the command center.,[],"[""Invitation links must expire within 7 days.""]","['REQ-BR-001', 'REQ-INTG-005']",FALSE,high,"[""An 'Owner' can access a user management interface."", ""The 'Owner' can enter a valid email address, select a role (Admin, Analyst, Marketer), and send an invitation."", 'The invited user receives an email with a unique, time-limited link to accept the invitation.', 'If the invited email is new, the user is guided through registration; if existing, they are added to the new team.']"
1311,REQ-FUNC-007,Functional,The system shall allow a user with the 'Owner' role to manage their team by changing member roles and removing members from the account.,User Management,FR-203: Role Assignment - The 'Owner' role shall be able to assign and change the roles of their team members.,[],"[""An Owner cannot change their own role or be removed by another user.""]",['REQ-FUNC-006'],FALSE,high,"[""The 'Owner' can view a list of all team members and their current roles."", ""The 'Owner' can change the role of any team member (except their own) to another available role."", ""The 'Owner' can remove a team member, which immediately revokes their access to the merchant account."", ""Role changes are reflected immediately in the user's permissions.""]"
1312,REQ-FUNC-009,Functional,"The system shall provide a sales trend analysis report with visualizations that can be filtered by date, compared against another period, and grouped by time interval.",Analytics,FR-302: Sales Trend Analysis - The system shall provide detailed reports allowing merchants to analyze sales trends over time.,[],[],['REQ-FUNC-008'],FALSE,high,"['The report displays sales data over the selected primary date range.', 'The user can select a secondary date range for comparison, and the visualization updates to show both periods.', 'The user can group the data visualization by hour, day, week, or month.', 'All filters and groupings work in combination.']"
1313,REQ-FUNC-010,Functional,The system shall provide customer segmentation reports based on purchasing behavior and location.,Analytics,FR-303: Customer Segmentation - The system shall provide reports that segment customers based on behavior.,[],[],['REQ-FUNC-008'],FALSE,high,"[""A report is available that segments customers as 'New' vs. 'Returning'."", 'A report is available that segments customers by total spending or AOV to identify high-value customers.', 'A report is available that segments customers by city and country.', 'All segmentation reports can be filtered by a date range.']"
1314,REQ-FUNC-011,Functional,The system shall provide a product performance report with key metrics that can be sorted and filtered by category.,Analytics,FR-304: Product Performance Reporting - The system shall provide reports to identify best and worst-selling products.,[],[],['REQ-FUNC-008'],FALSE,high,"['The report lists products with their corresponding Units Sold, Revenue Generated, and Conversion Rate.', 'The user can sort the product list in ascending or descending order by any of the key metrics.', 'The user can filter the product list to show only products from a specific category.', 'The report can be filtered by a date range.']"
1315,REQ-FUNC-012,Functional,The system shall generate and display a 30-day sales forecast using an Exponential Smoothing (ETS) algorithm based on historical sales data.,Analytics,FR-305: Sales Forecasting - The system shall provide a module that provides sales forecasts for the upcoming month based on historical data.,['Historical sales data contains sufficient patterns for the ETS algorithm to be effective.'],[],['REQ-FUNC-008'],FALSE,medium,"['The forecast module displays a projected sales figure for the next 30 days.', 'A trend line visualization for the forecast period is displayed.', 'The forecast is clearly labeled as an estimate and includes a 95% confidence interval.', 'The forecast requires at least 3 months of historical data to be generated.']"
1316,REQ-FUNC-013,Functional,The system shall provide a feature to export the data from any report or dashboard view into a CSV file.,Analytics,FR-306: Data Export - All reports and dashboard views shall have an option to be exported in CSV format.,[],[],['REQ-FUNC-008'],FALSE,medium,"[""An 'Export to CSV' button is present on all report and dashboard pages."", ""Clicking the button downloads a CSV file to the user's device."", 'The contents of the CSV file accurately reflect the data currently displayed in the UI, including any active filters or sorting.', 'The CSV file is well-formatted and can be opened by standard spreadsheet software.']"
1317,REQ-FUNC-014,Functional,The system shall provide an AI Assistant that allows users to query their business data using natural language questions.,AI Assistant,FR-401: Natural Language Queries (NLQ) - Merchants shall be able to ask natural language questions about their business data.,[],"[""All queries and responses must be strictly scoped to the data of the requesting merchant's account.""]","['REQ-INTG-006', 'REQ-FUNC-008']",FALSE,high,"['The UI provides a text input field for the user to ask questions.', ""The system correctly interprets questions related to defined KPIs and metrics (e.g., 'What were my total sales last week?')."", 'The system returns a concise and accurate answer, which may be text, a number, or a data visualization.', 'If a query cannot be understood, the system responds with a helpful message prompting the user to rephrase.']"
1318,REQ-FUNC-015,Functional,"The system's AI Assistant shall proactively analyze data to generate and display insight cards on the main dashboard, highlighting significant trends and anomalies.",AI Assistant,FR-402: Proactive Insights & Alerts - The AI assistant shall proactively generate and display insight cards on the dashboard.,"[""Sufficient historical data exists to establish a baseline for 'normal' performance.""]",[],['REQ-FUNC-008'],FALSE,high,"['The main dashboard contains a dedicated section for AI-generated insights.', ""The system generates an alert when a key metric deviates significantly from its historical norm (e.g., 'Sales are up 30% this week')."", ""The system generates an alert for data anomalies (e.g., 'A sudden spike in abandoned carts has been detected')."", 'Insights are presented in a clear, easy-to-understand format.']"
